source,reference,category,retrieved_examples,translation,BLEU,METEOR,COMET
"The amendments necessary for adapting the Annexes shall be adopted in accordance with the procedure referred to in Article 12(2), and shall, wherever possible, use European Standards.","Die zur Anpassung der Anhänge erforderlichen Änderungen erfolgen nach dem in Artikel 12 Absatz 2 genannten Verfahren, wenn möglich unter Verwendung europäischer Normen.",Civil Procedure & Litigation,3,"Die zur Anpassung der Anhänge erforderlichen Änderungen werden nach dem Verfahren des Artikels 12 Absatz 2 angenommen und nutzen, wo immer möglich, europäische Normen.",0.3137205373014051,0.7351162995207317,0.7155221104621887
"Technical specification of the index, including revisions to the weighting structure, can be redefined in accordance with the procedure referred to in Article 12(2).","Die technischen Spezifikationen des Index, einschließlich Überarbeitungen der Gewichtungsstruktur, können nach dem in Artikel 12 Absatz 2 genannten Verfahren neu festgelegt werden.",Civil Procedure & Litigation,3,"Die technische Spezifikation des Index, einschließlich Änderungen der Gewichtungsstruktur, kann nach dem in Artikel 12 Absatz 2 genannten Verfahren neu definiert werden.",0.5430321466633391,0.7937500000000002,0.7587152123451233
"NO RELIEF SHALL BE GRANTED FOR ALCOHOLIC PRODUCTS , TOBACCO OR TOBACCO PRODUCTS.","VON DER BEFREIUNG AUSGESCHLOSSEN SIND ALKOHOLISCHE ERZEUGNISSE , TABAK UND TABAKWAREN.",Civil Procedure & Litigation,3,"VON DER BEFREIUNG AUSGESCHLOSSEN SIND ALKOHOLHALTIGE ERZEUGNISSE, TABAKWAREN UND TABAKERZEUGNISSE.",0.3986357128268013,0.7812500000000001,0.9214126467704773
"As regards the procedure for levy of execution in respect of a registered Community design, the courts and authorities of the Member State determined in accordance with Article 27 shall have exclusive jurisdiction.",Für die Zwangsvollstreckungsmaßnahmen gegenüber einem eingetragenen Gemeinschaftsgeschmacksmuster sind die Gerichte und Behörden des nach Artikel 27 maßgebenden Mitgliedstaats ausschließlich zuständig.,Civil Procedure & Litigation,3,"Was das Verfahren für die Zwangsvollstreckung in Bezug auf ein eingetragenes Gemeinschaftsgeschmacksmuster betrifft, so sind die Gerichte und Behörden des durch Artikel 27 bestimmten Mitgliedstaats ausschließlich zuständig.",0.2698809072033866,0.6753312945973498,0.7244400382041931
The information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors.,Die Informationen nach Unterabsatz 1 Buchstabe b) können nur vom Rechnungshof selbst angefordert werden.,Civil Procedure & Litigation,3,Die nach Buchstabe b des ersten Unterabsatzes übermittelten Informationen können nur vom Rechnungshof angefordert werden.,0.26518122980477765,0.7490754437869823,0.7090838551521301
"The requirements of Articles 5, 6 and 7 of this Directive may be integrated into the procedures provided for in Directive 96/61/EC.","Die Anforderungen der Artikel 5, 6 und 7 der vorliegenden Richtlinie können in die Verfahren gemäß der Richtlinie 96/61/EG integriert werden.",Civil Procedure & Litigation,3,"Die Anforderungen der Artikel 5, 6 und 7 dieser Richtlinie können in die in der Richtlinie 96/61/EG vorgesehenen Verfahren integriert werden.",0.5741865870062566,0.829945652173913,0.827863872051239
the use of procedures without a prior call for competition by virtue of Article 40(3);,"Rückgriff auf Verfahren ohne vorherigen Aufruf zum Wettbewerb gemäß Artikel 40 Absatz 3,",Civil Procedure & Litigation,3,die Anwendung von Verfahren ohne vorherigen Aufruf zum Wettbewerb gemäß Artikel 40 Absatz 3;,0.7012055133086459,0.7798487779145421,0.7472163438796997
"basic knowledge of hygiene and in particular industrial hygiene,","Grundkenntnisse der Hygiene, insbesondere der Betriebshygiene;",Civil Procedure & Litigation,1,Grundkenntnisse der Hygiene und insbesondere der industriellen Hygiene,0.17286039232097053,0.5575,0.8050016760826111
the procedures for limiting the territorial validity of visas;,Modalitäten der räumlichen Beschränkung des Sichtvermerks;,Civil Procedure & Litigation,3,die Verfahren für die Beschränkung der territorialen Geltung von Visa;,0.024808415001701823,0.2027027027027027,-0.3050561547279358
I. Other industrial crops that have not been mentioned elsewhere.,"I. Sonstige Handelsgewächse, die anderweitig nicht genannt sind.",Civil Procedure & Litigation,1,"I. Andere industrielle Nutzpflanzen, die an anderer Stelle nicht erwähnt wurden.",0.04131551591106297,0.3611650485436893,0.2790452837944031
Conduct of the procedure,Ablauf des Verfahrens,Civil Procedure & Litigation,3,Gang des Verfahrens,0.24028114141347542,0.625,0.7402483820915222
"The revenue or payment appropriations shall be entered in the budget during the budgetary procedure using the letter of amendment procedure or, while budget implementation is under way, by means of an amending budget.",Die Einnahmen oder Zahlungsermächtigungen werden im Laufe des Haushaltsverfahrens im Wege des Verfahrens des Berichtigungsschreibens und im Verlauf des Haushaltsvollzugs im Wege eines Berichtigungshaushaltsplans in den Haushaltsplan eingesetzt.,Civil Procedure & Litigation,3,"Die Einnahmen oder Ausgabeermächtigungen werden während des Haushaltsverfahrens in den Haushaltsplan eingeschrieben, entweder unter Verwendung des Änderungsbescheidsverfahrens oder während der laufenden Haushaltsausführung durch einen Änderungshaushaltsplan.",0.06638288440678049,0.30848255280073456,0.5542187094688416
"details of obligations on farmers and any other terms of the commitment, including scope and procedures for adjusting of running contracts,","präzise Angaben zu den Verpflichtungen für die Landwirte und sonstigen Bedingungen im Rahmen der Vereinbarung, einschließlich der Möglichkeiten und Verfahren zur Anpassung von laufenden Verträgen;",Civil Procedure & Litigation,1,"Einzelheiten der Verpflichtungen der Landwirte und sonstigen Bedingungen der Verpflichtung, einschließlich Umfang und Verfahren für die Anpassung laufender Verträge,",0.1389710483290367,0.4598600803957946,0.25321459770202637
for contracts with a value of less than EUR 30000: competitive negotiated procedure within the meaning of paragraph 2.,Aufträge im Wert von unter 30000 Euro: wettbewerbliches Verhandlungsverfahren nach Absatz 2.,Civil Procedure & Litigation,3,für Verträge mit einem Wert von weniger als 30 000 EUR: Verhandlungsverfahren mit Wettbewerb im Sinne des Absatzes 2.,0.031420504922717064,0.4777848639455782,0.6572355628013611
Committee procedure,Ausschuss,Civil Procedure & Litigation,3,Ausschussverfahren,0.0,0.0,0.7880997657775879
"Designate an authorized agent having his permanent residence and abode in the host country, and possessing sufficient powers to bind the undertaking in relation to third parties and to represent it in relations with the authorities and courts of the host country ;","einen Hauptbevollmächtigten benennt, der seinen Wohnsitz und ständigen Aufenthaltsort im Aufnahmeland hat sowie mit ausreichender Vollmacht versehen ist, um das Unternehmen Dritten gegenüber zu verpflichten und es bei Verwaltungsbehörden und vor den Gerichten des Aufnahmelandes zu vertreten ;",Civil Procedure & Litigation,3,"Ernennen Sie einen autorisierten Bevollmächtigten, der seinen ständigen Wohnsitz und Aufenthalt im Gastland hat und über ausreichende Vollmachten verfügt, das Unternehmen gegenüber Dritten zu verpflichten und es in Beziehungen zu den Behörden und Gerichten des Gastlandes zu vertreten;",0.1424219694693171,0.5408077439537252,0.6407912373542786
Date of a pairing of the motion sensor with a vehicle unit.,Datum einer Koppelung des Weg- und/oder Geschwindigkeitsgebers mit einer Fahrzeugeinheit.,Civil Procedure & Litigation,3,Datum einer Koppelung des Weg- und/oder Geschwindigkeitsgebers mit einer Fahrzeugeinheit.,1.0,0.9996243425995492,1.0319397449493408
"In the declaration referred to in paragraph 9, the Contracting Parties shall define the offences referred to in paragraph 1 in accordance with one of the following procedures:",In der Erklärung nach Absatz 9 legen die Vertragsparteien die in Absatz 1 vorgesehenen Straftaten gemäß einer der nachfolgenden Modalitäten fest:,Civil Procedure & Litigation,3,In der in Absatz 9 genannten Erklärung legen die Vertragsparteien die in Absatz 1 genannten Straftaten nach einem der folgenden Verfahren fest:,0.3464020111658723,0.7121608291972631,0.7235587239265442
in which the proceedings have at that date been stayed in accordance with the last sentence of the third paragraph of Article 54 of the Protocol on the Statute of the Court of Justice;,das Verfahren zu diesem Zeitpunkt gemäß Artikel 54 Absatz 3 letzter Satz des Protokolls über die Satzung des Gerichtshofs ausgesetzt ist,Civil Procedure & Litigation,3,in denen das Verfahren zu diesem Zeitpunkt gemäß dem letzten Satz des dritten Absatzes des Artikels 54 des Protokolls über die Satzung des Gerichtshofs ausgesetzt wurde;,0.44582686998428134,0.8244027206218564,0.6822329163551331
"Where the procedure laid down in this Article is to be followed, matters shall be referred by the Chairman, either on his own initiative or at the request of a Member State, to the Standing Veterinary Committee (hereinafter called ""the Committee"") set up by the Council Decision of 15 October 1968.","Wird auf das in diesem Artikel festgelegte Verfahren Bezug genommen, so befaßt der Vorsitzende unverzüglich den durch Beschluß des Rates vom 15. Oktober 1968 eingesetzten Ständigen Veterinärausschuß - im folgenden ""Ausschuß"" genannt - entweder von sich aus oder auf Antrag eines Mitgliedstaats.",Civil Procedure & Litigation,3,"Wenn das in diesem Artikel vorgesehene Verfahren anzuwenden ist, werden Angelegenheiten vom Vorsitzenden, entweder von sich aus oder auf Antrag eines Mitgliedstaats, an den durch den Beschluss des Rates vom 15. Oktober 1968 eingesetzten Ständigen Veterinärausschuss (nachstehend ""der Ausschuss"" genannt) überwiesen.",0.39562596434581165,0.6407503635439651,0.6860747933387756
