source,reference,groq_bleu,groq_meteor,groq_comet
energy;,Energie;,4.973821522735861e-232,0.02525252525252526,-1.542874813079834
Non-confidential data should be made available to the public.,Nichtvertrauliche Daten sollten der Öffentlichkeit zugänglich gemacht werden.,0.007456930901683758,0.10703100801872184,-1.9174256324768066
"The coordinator shall also take into account additional rules and guidelines established by the air transport industry world-wide or Community-wide as well as local guidelines proposed by the coordination committee and approved by the Member State or any other competent body responsible for the airport in question, provided that such rules and guidelines do not affect the independent status of the coordinator, comply with Community law and aim at improving the efficient use of airport capacity.","Der Koordinator berücksichtigt des Weiteren zusätzliche Regelungen und Leitlinien, die das Luftverkehrsgewerbe weltweit oder gemeinschaftsweit festgelegt hat, sowie örtliche, auf Vorschlag des Koordinierungsausschusses von dem für den betreffenden Flughafen zuständigen Mitgliedstaat oder einer anderen zuständigen Stelle gebilligte Leitlinien, sofern diese Regelungen und Leitlinien die unabhängige Stellung des Koordinators nicht beeinträchtigen, mit dem Gemeinschaftsrecht in Einklang stehen und die effiziente Nutzung der Flughafenkapazität bezwecken.",0.0281401571888669,0.33707378266684207,-1.7851531505584717
Persons heard by the Commission may be assisted by their lawyers or other qualified and duly authorised persons admitted by the Hearing Officer.,Die von der Kommission anzuhörenden Personen können ihre Rechtsberater oder andere vom Anhörungsbeauftragten zugelassene qualifizierte und mit ordnungsgemäßer Vollmacht versehene Personen hinzuziehen.,6.711326481377355e-232,0.08666666666666667,-1.6960506439208984
"Without prejudice to the provisions of Article 15, the duration of such leave shall not exceed one year.","""(2) Unbeschadet des Artikels 15 beträgt die Hoechstdauer dieses Urlaubs ein Jahr.",1.6494539587332236e-79,0.06271364285405219,-1.3398993015289307
The report shall be communicated to the official.,Die Beurteilung wird dem Beamten bekanntgegeben.,4.7091911478183385e-232,0.029354207436399223,-1.984635591506958
"Having regard to Council Regulation (EC) No 2012/2002 of 11 November 2002 establishing the European Union Solidarity Fund(2),","gestützt auf die Verordnung (EG) Nr. 2012/2002 des Rates vom 11. November 2002 zur Errichtung des Solidaritätsfonds der Europäischen Union(2),",0.023644012075382356,0.26798129187207687,-1.697749376296997
Juniperberry oil,Wacholderbeeröl,0.0,0.0,-1.514817237854004
"San Marino (2A)H,","San Marino (2A)H,",0.01184505953706754,0.13467814871613384,-1.5539573431015015
"conventional two-stroke engines with a ceramic catalyst of the same active material and loading, and the same number of cells per cm2,",Herkömmliche Zweitaktmotoren mit einem Keramikkatalysator mit dem gleichen aktiven Material und Füllstoff und der gleichen Anzahl von Zellen je cm2,0.015380002142483657,0.18787878787878792,-1.6221039295196533
"In the event of widowhood, divorce, separation, or death of first-degree relatives in the direct ascending or descending line, an autonomous residence permit may be issued, upon application, if required, to persons who have entered by virtue of family reunification.","Im Falle des Todes des Ehepartners, der Scheidung, der Trennung und des Todes von Verwandten ersten Grades in gerader aufsteigender oder absteigender Linie kann Personen, die zum Zweck der Familienzusammenführung eingereist sind - falls erforderlich auf Antrag - ein eigener Aufenthaltstitel gewährt werden.",0.007416698513048927,0.18997205503009462,-1.6203563213348389
A MEMBER STATE MAY REQUIRE THAT EMOLUMENTS GRANTED BY REASON OF RESPONSIBILITIES ASSUMED IN UNDERTAKINGS LINKED AS DESCRIBED IN ARTICLE 32 OR 33 SHALL ALSO BE INCLUDED WITH THE INFORMATION SPECIFIED IN THE FIRST SENTENCE.,"Die Mitgliedstaaten können verlangen, daß in die Angaben nach Satz 1 auch Vergütungen für die Wahrnehmung von Aufgaben in Unternehmen einbezogen werden, zu denen Beziehungen im Sinne von Artikel 32 oder von Artikel 33 bestehen;",2.734668500198905e-79,0.12541481175493208,-1.8388917446136475
Costières de Nîmes,Costières de Nîmes,1.0733052098481612e-79,0.028586839266450927,-1.8063504695892334
Date of consensus:,Datum des Beschlusses:,1.0686017451445737e-155,0.04010695187165776,-2.1699934005737305
"Category M3 : Vehicles used for the carriage of passengers, comprising more than eight seats in addition to the driver's seat, and having a maximum weight exceeding 5 metric tons.",Klasse M3 : Fahrzeuge für Personenbeförderung mit mehr als 8 Sitzplätzen außer dem Fahrersitz und einem Höchstgewicht üb t .,0.004919412919314183,0.11688653361897247,-1.737095594406128
adapting and developing networks to facilitate the integration/connection of renewable energy production;,die Anpassung und Entwicklung von Netzen zur Erleichterung der Integration/des Anschlusses der Stromerzeugung aus erneuerbaren Energiequellen;,1.436894694007505e-79,0.057008421266233775,-1.3755824565887451
Certificates of type approvals according to UN-ECE Regulation 96.,Typgenehmigungsbogen gemäß VN-ECE-Regelung 96.,4.620661302289299e-232,0.019480519480519484,-1.4454233646392822
"As explained in paragraphs 19 and 26(c), temporary differences may arise in a business combination that is an acquisition.","Wie in den Paragraphen 19 und 26(c) erläutert, können temporäre Unterschiede bei einem Unternehmenszusammenschluss in der Form eines Unternehmenserwerbes entstehen.",0.014113876636872384,0.18959435626102294,-1.4933435916900635
"Subject to the provisions of paragraph 1, a right shall be acquired under this Regulation even if it relates to a contingency arising prior to 1 June 2003.","Vorbehaltlich des Absatzes 1 wird ein Leistungsanspruch nach dieser Verordnung auch für Ereignisse begründet, die vor dem 1. Juni 2003 liegen.",0.011437058743839077,0.17112125162972625,-1.7220046520233154
"evaluating the data provided by the applicant for authorisation to place the feed additive on the market, for the purpose of testing and evaluation or validation of the method for detection;",die Evaluierung der vom Antragsteller für die Zulassung zum Inverkehrbringen des Futtermittelzusatzstoffs zum Zweck der Erprobung und Evaluierung oder Validierung der Nachweismethoden vorgelegten Daten;,0.011029811375550178,0.16143076621487942,-1.7107902765274048
Interested parties were informed of the essential facts and considerations on the basis of which the Council intended to extend the definitive anti-dumping duty in force and were given the opportunity to comment and to be heard.,"Die interessierten Parteien wurden über die wesentlichen Tatsachen und Erwägungen unterrichtet, auf deren Grundlage der Rat den endgültigen Antidumpingzoll auszuweiten beabsichtigte, und erhielten Gelegenheit, Stellung zu nehmen und gehört zu werden.",0.01972847815000416,0.2563621510197491,-1.7113926410675049
A design shall be considered to be new if no identical design has been made available to the public:,"Ein Geschmacksmuster gilt als neu, wenn der Öffentlichkeit:",0.008958260414921603,0.15817901234567905,-1.704472303390503
COMPARATIVE TABLE WITH REGULATION (EC) No 1347/2000,ENTSPRECHUNGSTABELLE ZUR VERORDNUNG (EG) Nr. 1347/2000,0.011041558093119661,0.16755110062893086,-1.5167951583862305
The specified conditions shall be determined in accordance with the procedure referred to in Article 18(2).,Die entsprechenden Bedingungen werden nach dem Verfahren des Artikels 18 Absatz 2 festgelegt.,1.9091552532542716e-79,0.0963589752783206,-1.7322731018066406
6 procedures for evacuation in case of security threats or breaches of security;.,6 Verfahren für die Evakuierung bei Bedrohungssituationen oder bei Beeinträchtigungen der Gefahrenabwehr;.,0.007115242918900856,0.09523809523809525,-1.6275675296783447
Monitoring and evaluation report,Überwachung und Bewertungsbericht,1.0372109586788451e-155,0.03125000000000001,-1.7467234134674072
"If the quantity not marketed exceeds 5 %, no seed aid shall be granted for the marketing year concerned.","Liegt die nicht vermarktete Menge über 5 %, so wird für das betreffende Wirtschaftsjahr keine Saatgutbeihilfe gewährt.",0.012513408588416708,0.2490580673758866,-1.6538217067718506
"If the amount used is a ml, the factor f is:","Beträgt die verbrauchte Menge ""a"" ml, so errechnet sich der Faktor ""f"" wie folgt:",1.8674412172438416e-155,0.14986906098017214,-1.3472490310668945
"When an enterprise borrows funds specifically for the purpose of obtaining a particular qualifying asset, the borrowing costs that directly relate to that qualifying asset can be readily identified.","Wenn ein Unternehmen speziell für die Beschaffung eines bestimmten qualifizierten Vermögenswertes Mittel aufnimmt, können die Fremdkapitalkosten, die sich direkt auf diesen qualifizierten Vermögenswert beziehen, ohne weiteres bestimmt werden.",0.005376277753701598,0.14633878691141264,-1.5841877460479736
the product is a traditional herbal medicinal product for use in specified indication(s) exclusively based upon long-standing use; and,das Produkt ein traditionelles pflanzliches Arzneimittel zur Verwendung für ein spezifiziertes Anwendungsgebiet/spezifizierte Anwendungsgebiete ausschließlich aufgrund langjähriger Anwendung ist und,0.005722356050093397,0.15060728744939272,-1.6068065166473389
State the timing of physical inventory taking.,Angabe des vorgesehenen Zeitplans für die Aufnahme des realen Bestandes.,6.58603216956317e-156,0.025865946918578506,-1.7197532653808594
"nature and extent of the services to be provided, the general characteristics of the work or of the lots by reference to the work (nomenclature reference No(s)).","Art und Umfang der Leistungen, allgemeine Merkmale des Bauwerks oder der Baulose; Nomenklatur-Referenznummer/n.",0.0031672701970170305,0.08204319030906829,-1.609314203262329
"A non-Contracting Party vessel which has been sighted engaging in fishing activities in the Convention area or which has been denied port access, landing or transhipment in accordance with Article 27 shall be presumed to have carried out IUU activities that have undermined the effectiveness of the CCAMLR conservation measures.","Bei einem Schiff einer Nichtvertragspartei, das bei Fangtätigkeiten im Übereinkommensbereich gesichtet oder dem der Zugang zu einem Hafen, die Anlandung oder Umladung gemäß Artikel 27 verweigert wurde, wird davon ausgegangen, dass es IUU-Tätigkeiten ausgeübt hat, die die Wirksamkeit der CCAMLR-Erhaltungsmaßnahmen untergraben.",0.012858042088840132,0.20773948981255697,-1.8157984018325806
An authentic instrument which has been certified as a European Enforcement Order in the Member State of origin shall be enforced in the other Member States without the need for a declaration of enforceability and without any possibility of opposing its enforceability.,"Eine öffentliche Urkunde, die im Ursprungsmitgliedstaat als Europäischer Vollstreckungstitel bestätigt worden ist, wird in den anderen Mitgliedstaaten vollstreckt, ohne dass es einer Vollstreckbarerklärung bedarf und ohne dass ihre Vollstreckbarkeit angefochten werden kann.",0.003880575758583436,0.12101469731990049,-1.792081594467163
"No subdivision of the weight ranges referred to in paragraph 1 may be made using different pack colours, symbols, trademarks or other indications.","Es darf keine Unterteilung der Gewichtsspannen gemäß Absatz 1 mit Hilfe von Packungsfarben, Symbolen, Warenzeichen oder anderen Angaben erfolgen.",1.1842777465563878e-155,0.08796919940291988,-1.7044984102249146
"IAS 2.21 and 2.23 allow various cost formulas (FIFO, weighted average cost or LIFO) for inventories that are ordinarily interchangeable or are not produced and segregated for specific projects.","IAS 2.21 und 2.23 lassen verschiedene Verfahren (FIFO, Durchschnittskostenmethode oder LIFO) für die Zuordnung der Anschaffungs- oder Herstellungskosten von solchen Vorräten zu, die normalerweise austauschbar sind oder nicht für spezielle Projekte hergestellt und ausgesondert werden.",0.018468906028747102,0.2637987012987013,-1.6977910995483398
it is nevertheless necessary that the Board is chaired by a legally qualified member with recognised experience in Community and international law.,den Vorsitz der Beschwerdekammer muss jedoch ein juristisch qualifiziertes Mitglied mit anerkannter Erfahrung im Bereich des Gemeinschaftsrechts und des internationalen Rechts führen;,0.009448759281393798,0.1356729377713459,-1.7260363101959229
"For the purposes of this provision, circumstances arising from work done for another State or for an international organization shall not be taken into account;","Bei Anwendung dieser Vorschrift bleibt die Lage unberücksichtigt, die sich aus dem Dienst für einen anderen Staat oder eine internationale Organisation ergibt;",0.005200497116992556,0.09830207386598364,-1.7160959243774414
Applicants must certify that they are not in one of the situations listed in Article 93.,"Die Antragsteller müssen bestätigen, dass sie sich nicht in einer der in Artikel 93 genannten Situationen befinden.",0.03834084494063523,0.3025257158988655,-1.7144317626953125
Proficiency testing,Eignungsprüfung,0.0,0.0,-1.63589346408844
Article 116 shall be replaced by the following:,Artikel 116 erhält folgende Fassung:,6.942938811447025e-156,0.036958430913348946,-1.73056161403656
"exceededNumberOfAttempts: PIN not valid and number of PIN checks attempts exceeded,","exceededNumberOfAttempts: ungültige PIN und Zahl der zulässigen PIN-Prüfversuche überschritten,",9.588706607320481e-156,0.05696009747182456,-1.4225223064422607
"HAVING REGARD TO THE TREATY ESTABLISHING THE EUROPEAN ECONOMIC COMMUNITY , AND IN PARTICULAR ARTICLE 54 (3) (G) THEREOF ,","gestützt auf den Vertrag zur Gründung der Europäischen Wirtschaftsgemeinschaft und insbesondere auf Artikel 54 Absatz 3 Buchstabe g),",0.015376896979866734,0.18307678133548783,-1.9838780164718628
"Due to the fact that dairy premiums and additional payments will be included in the single payment scheme on the basis of a different reference period than the one referred to in Article 37 of Regulation (EC) No 1782/2003, it is appropriate, for the purpose of establishing the reference amount, to take into account of dairy farmers finding themselves in a situation referred to in Article 40 of Regulation (EC) No 1782/2003 who lease, because of that situation, their individual reference quantity or part of it according to Article 16 of Regulation (EC) No 1788/2003 during the twelve-month period ending on 31 March of the first year of application of the single payment scheme.","Da die Milchprämien und die Ergänzungszahlungen auf Basis anderer als der in Artikel 37 der Verordnung (EG) Nr. 1782/2003 vorgesehenen Referenzzeiträume in die Betriebsprämienregelung einbezogen werden, empfiehlt es sich, zur Festsetzung des Referenzbetrags die Milcherzeuger zu berücksichtigen, die sich in einer Lage gemäß Artikel 40 der Verordnung (EG) Nr. 1782/2003 befinden und die wegen dieser Lage ihre einzelbetriebliche Referenzmenge gemäß Artikel 16 der Verordnung (EG) Nr. 1788/2003 in den zwölf Monaten bis zum 31. März des ersten Anwendungsjahrs der Betriebsprämienregelung ganz oder teilweise verpachten.",0.05487825004442879,0.37398066536864355,-1.8644979000091553
"In the case of WEEE other than WEEE from private households, and without prejudice to Article 9, Member States shall ensure that producers or third parties acting on their behalf provide for the collection of such waste.","Bei nicht aus privaten Haushalten stammenden Elektro- und Elektronik-Altgeräten stellen die Mitgliedstaaten unbeschadet des Artikels 9 sicher, dass die Hersteller oder in ihrem Namen tätige Dritte für die Sammlung dieser Altgeräte sorgen.",0.00515696213053119,0.11281280403196227,-1.6924021244049072
"Subject to the provisions of Article 15 (2), Article 20 (1) and (3) and Article 22 (1) last subparagraph, Member States shall not restrain the free disposal of the assets, whether movable or immovable property, forming part of the assets of authorized businesses.","Vorbehaltlich des Artikels 15 Absatz 2, des Artikels 20 Absätze 1 und 3 sowie des Artikels 22 Absatz 1 Unterabsatz 2 sehen die Mitgliedstaaten davon ab, die freie Verfügung über die beweglichen und nicht beweglichen Vermögenswerte der zugelassenen Unternehmen zu beschränken.",0.0058009425357176195,0.15382096848153173,-1.5921483039855957
"rates of employee turnover, disability and early retirement;","Fluktuationsraten, Invalidisierungsraten und Frühpensionierungsverhalten;",3.408154516602501e-232,0.0059276822762299956,-1.809780240058899
The Agency should act in support of the Community mechanism in the field of civil protection.,Die Agentur sollte das Gemeinschaftsverfahren im Bereich des Katastrophenschutzes unterstützen.,2.2120293885250683e-79,0.09749521928587106,-1.6823525428771973
Warning of a power supply interruption event may be delayed until the power supply is reconnected.,Die Warnung für das Ereignis Unterbrechung der Stromversorgung kann bis zur Wiederherstellung der Stromversorgung aufgeschoben werden.,0.007055640689972492,0.12349843518674691,-1.389101266860962
Retrocesión al titular el...,Retrocesión al titular el...,0.004451586633138727,0.03164556962025317,-1.673880696296692
